Unnamed: 0,age,gender,year_in_school,major,monthly_income_idr,financial_aid_idr,tuition_idr,housing_idr,food_idr,transportation_idr,books_supplies_idr,entertainment_idr,personal_care_idr,technology_idr,health_wellness_idr,miscellaneous_idr,preferred_payment_method
0,19,Non-binary,Freshman,Psychology,14370000,4050000,89085000,10635000,4440000,1845000,2820000,615000,1170000,2010000,1905000,1080000,Credit/Debit Card
1,24,Female,Junior,Economics,15090000,13125000,73620000,8355000,5475000,1275000,3780000,1110000,1380000,3390000,1935000,1020000,Credit/Debit Card
2,24,Non-binary,Junior,Economics,11010000,13920000,45765000,9990000,3300000,2055000,1485000,1950000,345000,3585000,1680000,1995000,Cash
3,23,Female,Senior,Computer Science,9255000,3975000,74025000,9780000,4335000,1710000,3345000,1485000,450000,2445000,1575000,825000,Mobile Payment App
4,20,Female,Senior,Computer Science,12150000,7830000,58305000,12375000,5580000,2520000,2910000,720000,1065000,1320000,1065000,1560000,Credit/Debit Card
5,25,Non-binary,Sophomore,Computer Science,7845000,11850000,47265000,6195000,5790000,1830000,1965000,1095000,570000,3510000,1620000,1485000,Mobile Payment App
6,23,Female,Freshman,Engineering,20310000,1035000,74595000,12180000,5970000,1515000,3195000,315000,570000,2355000,1755000,720000,Credit/Debit Card
7,23,Female,Junior,Economics,9465000,11220000,59490000,8565000,4035000,1380000,3765000,555000,1350000,2280000,840000,930000,Mobile Payment App
8,22,Non-binary,Senior,Computer Science,21030000,3720000,84570000,8985000,5310000,1230000,2325000,1845000,615000,2430000,2580000,2910000,Credit/Debit Card
9,18,Female,Junior,Computer Science,21345000,1110000,59655000,9390000,3735000,1755000,1845000,765000,1110000,3645000,510000,2940000,Mobile Payment App
10,23,Male,Junior,Biology,11430000,9225000,61395000,9900000,3930000,870000,2745000,1470000,315000,4110000,990000,750000,Credit/Debit Card
11,25,Male,Freshman,Engineering,16020000,285000,77070000,11010000,3645000,3000000,3420000,855000,855000,3135000,2895000,2190000,Credit/Debit Card
12,21,Male,Sophomore,Economics,10785000,8100000,72945000,13410000,4200000,1800000,1890000,615000,750000,1170000,1695000,1710000,Credit/Debit Card
13,19,Female,Junior,Biology,17640000,12885000,78015000,9390000,3510000,750000,4110000,300000,1155000,1875000,2985000,1545000,Mobile Payment App
14,24,Non-binary,Freshman,Economics,22440000,1125000,79515000,9855000,2265000,945000,1380000,1860000,960000,2940000,750000,1755000,Cash
15,22,Non-binary,Sophomore,Computer Science,18405000,390000,62625000,13260000,4920000,2505000,2625000,1665000,1440000,1095000,2310000,1635000,Cash
